datetime,open,high,low,close,openinterest,vol,amount,settlementprice,lastsettlementprice,closerange,settlerange
2013/3/15,4701,4845,4701,4828,68,130,6271300,4824,4760,68,64
2013/3/18,4800,4849,4800,4808,58,62,2989300,4821,4824,-16,-3
2013/3/19,4831,4831,4810,4818,100,72,3466000,4813,4821,-3,-8
2013/3/21,4836,4841,4830,4841,116,48,2320700,4834,4813,28,21
2013/3/22,4841,4854,4837,4854,162,68,3293700,4843,4834,20,9
2013/3/25,4874,4880,4862,4862,164,20,974300,4871,4843,19,28
2013/3/26,4876,4899,4863,4864,178,60,2923500,4872,4871,-7,1
2013/3/27,4864,4869,4842,4854,192,54,2623700,4858,4872,-18,-14
2013/3/28,4889,4889,4844,4851,182,48,2333300,4860,4858,-7,2
2013/3/29,4816,4826,4799,4822,184,62,2984700,4813,4860,-38,-47
2013/4/1,4818,4842,4801,4801,198,98,4723900,4820,4813,-12,7
2013/4/2,4813,4822,4813,4813,200,16,770700,4816,4820,-7,-4
2013/4/3,4800,4826,4797,4800,206,32,1536900,4802,4816,-16,-14
2013/4/8,4800,4808,4793,4802,218,28,1344800,4802,4802,0,0
2013/4/9,4820,4820,4800,4805,238,60,2885700,4809,4802,3,7
2013/4/10,4816,4816,4803,4811,240,14,673400,4809,4809,2,0
2013/4/11,4807,4812,4807,4812,252,24,1154300,4809,4809,3,0
2013/4/12,4819,4819,4803,4807,254,14,673500,4810,4809,-2,1
2013/4/15,4803,4803,4791,4798,242,206,9879000,4795,4810,-12,-15
2013/4/16,4790,4797,4771,4783,352,238,11387000,4784,4795,-12,-11
2013/4/17,4797,4815,4794,4794,328,106,5092700,4804,4784,10,20
2013/4/18,4812,4813,4796,4805,332,40,1922900,4807,4804,1,3
2013/4/19,4815,4825,4804,4804,350,100,4813800,4813,4807,-3,6
2013/4/22,4800,4800,4778,4778,356,86,4116900,4787,4813,-35,-26
2013/4/23,4778,4785,4772,4785,362,44,2103000,4779,4787,-2,-8
2013/4/24,4770,4770,4731,4731,380,100,4742700,4742,4779,-48,-37
2013/4/25,4730,4731,4700,4700,384,154,7258700,4713,4742,-42,-29
2013/4/26,4720,4721,4690,4697,406,194,9134600,4708,4713,-16,-5
2013/5/2,4700,4715,4690,4699,440,116,5451200,4699,4708,-9,-9
2013/5/3,4711,4724,4708,4720,422,66,3112900,4716,4699,21,17
2013/5/6,4721,4750,4705,4750,438,72,3405100,4729,4716,34,13
2013/5/7,4727,4738,4727,4738,440,22,1041800,4735,4729,9,6
2013/5/8,4746,4756,4738,4751,438,20,940000,4749,4735,16,14
2013/5/9,4750,4750,4726,4726,428,78,3692100,4733,4749,-23,-16
2013/5/10,4735,4735,4699,4699,712,444,20891100,4705,4733,-34,-28
2013/5/13,4690,4690,4640,4640,878,324,15103300,4661,4705,-65,-44
2013/5/14,4648,4648,4608,4612,1138,672,31088000,4626,4661,-49,-35
2013/5/15,4622,4645,4614,4644,1202,340,15726200,4625,4626,18,-1
2013/5/16,4625,4670,4625,4668,1178,152,7063900,4647,4625,43,22
2013/5/17,4680,4703,4676,4703,1118,354,16604000,4690,4647,56,43
2013/5/20,4705,4747,4705,4715,1168,660,31193800,4726,4690,25,36
2013/5/21,4719,4719,4690,4690,1184,74,3483700,4707,4726,-36,-19
2013/5/22,4704,4704,4685,4696,1170,42,1972600,4696,4707,-11,-11
2013/5/23,4709,4709,4688,4688,1182,40,1880700,4701,4696,-8,5
2013/5/24,4680,4681,4659,4659,1276,188,8771700,4665,4701,-42,-36
2013/5/27,4660,4667,4641,4656,1302,88,4102000,4661,4665,-9,-4
2013/5/28,4662,4662,4652,4658,1370,76,3539700,4657,4661,-3,-4
2013/5/29,4658,4692,4658,4669,1448,414,19333000,4669,4657,12,12
2013/5/30,4665,4666,4651,4663,1456,74,3448400,4659,4669,-6,-10
2013/5/31,4671,4671,4656,4663,1464,44,2050600,4660,4659,4,1
2013/6/3,4685,4701,4682,4701,1366,192,9014900,4695,4660,41,35
2013/6/4,4690,4701,4687,4688,1372,38,1782900,4691,4695,-7,-4
2013/6/5,4697,4700,4690,4696,1354,46,2150000,4695,4691,5,4
2013/6/6,4681,4696,4680,4690,1304,72,3374500,4686,4695,-5,-9
2013/6/7,4699,4707,4681,4688,1318,30,1407700,4692,4686,2,6
2013/6/13,4681,4681,4666,4668,1320,44,2056200,4673,4692,-24,-19
