datetime,open,high,low,close,vol,amount,openinterest
2015/1/5 9:16,3619,3628,3616.6,3619.8,17801,19342731300,131057
2015/1/5 9:17,3620.2,3620.2,3613.6,3617.8,5792,6285823440,131143
2015/1/5 9:18,3618,3618.6,3614.6,3616.4,3909,4240387440,131229
2015/1/5 9:19,3616,3618,3613.2,3616.4,3405,3693704460,131662
2015/1/5 9:20,3616.8,3619,3616.4,3618,2715,2946851280,132219
2015/1/5 9:21,3618.2,3618.6,3616.4,3618,2064,2239979880,132603
2015/1/5 9:22,3618.4,3618.4,3615.2,3615.4,1966,2133071220,132797
2015/1/5 9:23,3615.2,3617.6,3614.6,3617.2,2010,2180324520,132766
2015/1/5 9:24,3617,3618,3613.2,3613.6,2066,2240814240,132692
2015/1/5 9:25,3613.8,3615,3611.2,3612,2988,3238728780,132777
2015/1/5 9:26,3613,3613.2,3605.8,3609.2,5283,5718816840,132837
2015/1/5 9:27,3609.4,3611.8,3608.4,3609.6,3149,3410313900,132802
2015/1/5 9:28,3609.2,3614.4,3609.2,3611.8,3265,3538353000,132788
2015/1/5 9:29,3612,3612.6,3610.4,3612.6,1290,1397699580,132978
2015/1/5 9:30,3612.2,3613.4,3608.8,3608.8,2437,2639898600,133169
2015/1/5 9:31,3608,3612.8,3604.6,3607,5152,5576744220,133908
2015/1/5 9:32,3606.8,3611.6,3606.4,3610,3067,3321197940,133826
2015/1/5 9:33,3610,3614.8,3608,3614.2,4780,5180744940,134333
2015/1/5 9:34,3614.2,3615,3611.2,3613.8,3339,3619588560,134701
2015/1/5 9:35,3613.6,3614.6,3608.8,3610,3688,3995739420,135087
2015/1/5 9:36,3610.2,3612,3609,3610.6,3401,3683761320,135625
2015/1/5 9:37,3610.4,3611.6,3607.6,3608,4284,4638726360,135786
2015/1/5 9:38,3608.2,3609.6,3603,3608.8,5424,5868692820,135753
2015/1/5 9:39,3608.4,3613.6,3607.6,3613,4572,4952692500,135705
2015/1/5 9:40,3612.8,3614.4,3609.2,3612,4096,4438732020,136083
2015/1/5 9:41,3611.4,3613.6,3606.6,3606.6,4366,4728810660,135975
2015/1/5 9:42,3607.2,3609.4,3605.8,3606.6,3568,3861093960,136429
2015/1/5 9:43,3606,3607.6,3604.6,3607.4,2919,3157675440,136414
2015/1/5 9:44,3607.4,3612.6,3606,3612,4704,5093804880,136624
2015/1/5 9:45,3611.6,3611.8,3608.6,3610.8,2654,2874627960,136704
2015/1/5 9:46,3610.8,3612,3609.8,3611,1855,2009502420,136738
2015/1/5 9:47,3611.2,3612.4,3607.8,3612.2,3395,3676618320,137284
2015/1/5 9:48,3613,3616.4,3611.2,3613.4,5555,6022586100,137153
2015/1/5 9:49,3613.4,3616.8,3612.2,3615.6,3684,3995027040,137816
2015/1/5 9:50,3615.6,3617.6,3614,3617.6,3826,4150200780,138091
2015/1/5 9:51,3617.6,3617.6,3612.6,3613.6,4497,4876569420,138727
2015/1/5 9:52,3613.4,3613.4,3609,3609.8,4411,4778708880,139363
2015/1/5 9:53,3609.4,3611,3608,3608.6,3010,3259577040,139691
2015/1/5 9:54,3608.4,3609.8,3603.8,3603.8,5000,5410851480,139950
2015/1/5 9:55,3603.8,3606,3601.6,3602.4,6778,7327150200,140207
2015/1/5 9:56,3602.4,3604,3601,3603.2,4087,4416890640,140772
2015/1/5 9:57,3603.8,3607.4,3603.4,3606,4586,4960648200,141113
