datetime,open,high,low,close,vol,amount,change,changerate,amplitude,openinterest,ma1,ma2,ma3,ma4
2020/12/8 11:30,9.3305,9.3791,9.3305,9.3791,6387,6129436,0.0487,0.0052,0.0052,14,9.3675,9.3762,9.4059,9.509
2020/12/8 13:10,9.3889,9.4181,9.3889,9.4084,12219,11799238,0.0292,0.0031,0.0031,13,9.3714,9.3782,9.4045,9.5053
2020/12/8 13:20,9.4084,9.4668,9.3986,9.4668,16969,16449912,0.0584,0.0062,0.0072,13,9.3869,9.3879,9.4064,9.504
2020/12/8 13:30,9.4473,9.4765,9.3986,9.4376,13518,13119114,-0.0292,-0.0031,0.0082,13,9.4045,9.3938,9.4054,9.5022
2020/12/8 13:40,9.4278,9.4376,9.4181,9.4278,5009,4850488,-0.0097,-0.001,0.0021,13,9.424,9.3967,9.4035,9.5004
2020/12/8 13:50,9.4278,9.4473,9.4181,9.4278,6132,5937510,0,0,0.0031,13,9.4337,9.4006,9.403,9.4986
2020/12/8 14:00,9.4181,9.4376,9.3986,9.4278,7537,7295239,0,0,0.0041,13,9.4376,9.4045,9.404,9.496
2020/12/8 14:10,9.4278,9.4765,9.4278,9.4571,10983,10667466,0.0292,0.0031,0.0052,13,9.4356,9.4113,9.4054,9.4942
2020/12/8 14:20,9.4571,9.4571,9.4278,9.4278,4641,4499228,-0.0292,-0.0031,0.0031,13,9.4337,9.4191,9.4079,9.4912
2020/12/8 14:30,9.4278,9.4376,9.4084,9.4181,8388,8114219,-0.0097,-0.001,0.0031,13,9.4317,9.4278,9.4064,9.4879
2020/12/8 14:40,9.4278,9.4278,9.3986,9.4084,9654,9330932,-0.0097,-0.001,0.0031,13,9.4278,9.4308,9.4035,9.485
2020/12/8 14:50,9.4084,9.4181,9.3986,9.4084,11764,11358130,0,0,0.0021,13,9.424,9.4308,9.4045,9.4822
2020/12/8 15:00,9.3986,9.4084,9.3889,9.4084,16044,15483240,0,0,0.0021,15,9.4142,9.4249,9.4064,9.4793
2020/12/9 9:40,9.4181,9.4668,9.3694,9.3694,25087,24245977,-0.039,-0.0041,0.0104,13,9.4025,9.4181,9.4059,9.4764
2020/12/9 9:50,9.3791,9.4473,9.3694,9.4278,19614,18954001,0.0584,0.0062,0.0083,13,9.4045,9.4181,9.4074,9.4731
2020/12/9 10:00,9.4278,9.4473,9.3986,9.3986,10875,10517702,-0.0292,-0.0031,0.0052,13,9.4025,9.4152,9.4079,9.4697
2020/12/9 10:10,9.3889,9.4084,9.3597,9.3791,12388,11934621,-0.0195,-0.0021,0.0052,13,9.3967,9.4103,9.4074,9.4653
2020/12/9 10:20,9.3791,9.4473,9.3694,9.4278,17042,16444373,0.0487,0.0052,0.0083,13,9.4006,9.4074,9.4093,9.4619
2020/12/9 10:30,9.4376,9.4571,9.4084,9.4571,11270,10914030,0.0292,0.0031,0.0052,13,9.4181,9.4103,9.4147,9.4587
2020/12/9 10:40,9.4571,9.4668,9.4376,9.4376,12867,12493405,-0.0195,-0.0021,0.0031,13,9.4201,9.4123,9.4201,9.4559
2020/12/9 10:50,9.4376,9.4668,9.4376,9.4473,8715,8455079,0.0097,0.001,0.0031,13,9.4298,9.4162,9.4235,9.4535
2020/12/9 11:00,9.4376,9.4376,9.3986,9.3986,11058,10687865,-0.0487,-0.0052,0.0041,13,9.4337,9.4152,9.423,9.4502
2020/12/9 11:10,9.3986,9.4278,9.3889,9.4181,5351,5166560,0.0195,0.0021,0.0041,13,9.4317,9.4162,9.4205,9.4464
2020/12/9 11:20,9.4278,9.4473,9.4181,9.4376,5228,5063246,0.0195,0.0021,0.0031,13,9.4278,9.423,9.4205,9.4433
2020/12/9 11:30,9.4376,9.4473,9.4181,9.4278,5326,5160462,-0.0097,-0.001,0.0031,14,9.4259,9.423,9.4205,9.4399
2020/12/9 13:10,9.4278,9.4278,9.3986,9.4084,5215,5041048,-0.0195,-0.0021,0.0031,13,9.4181,9.424,9.4196,9.4376
2020/12/9 13:20,9.4084,9.4181,9.3597,9.3694,13207,12727256,-0.039,-0.0041,0.0062,13,9.4123,9.423,9.4166,9.4343
2020/12/9 13:30,9.3694,9.3791,9.311,9.3402,29330,28134719,-0.0292,-0.0031,0.0073,13,9.3967,9.4142,9.4108,9.4314
2020/12/9 13:40,9.3402,9.3499,9.3207,9.3207,13401,12842424,-0.0195,-0.0021,0.0031,13,9.3733,9.4006,9.4054,9.4277
2020/12/9 13:50,9.3207,9.3402,9.311,9.311,13884,13286185,-0.0097,-0.001,0.0031,13,9.3499,9.3879,9.4001,9.4244
2020/12/9 14:00,9.311,9.3305,9.3012,9.311,16856,16115208,0,0,0.0031,13,9.3305,9.3743,9.3952,9.4207
2020/12/9 14:10,9.311,9.3207,9.2915,9.3207,13829,13210272,0.0097,0.001,0.0031,13,9.3207,9.3665,9.3908,9.4175
2020/12/9 14:20,9.3207,9.3207,9.2915,9.3012,9239,8828286,-0.0195,-0.0021,0.0031,13,9.3129,9.3548,9.3855,9.4136
2020/12/9 14:30,9.3012,9.3402,9.2915,9.3207,9151,8755177,0.0195,0.0021,0.0052,13,9.3129,9.3431,9.383,9.41
2020/12/9 14:40,9.3207,9.3207,9.1746,9.2038,43168,40989588,-0.1169,-0.0125,0.0157,13,9.2915,9.3207,9.3718,9.4054
2020/12/9 14:50,9.1941,9.2038,9.0967,9.1064,59436,55937240,-0.0974,-0.0106,0.0116,13,9.2506,9.2905,9.3572,9.3994
2020/12/9 15:00,9.1064,9.1551,9.1064,9.1162,46442,43506201,0.0097,0.0011,0.0053,15,9.2097,9.2652,9.3441,9.3934
2020/12/10 9:40,9.0675,9.1551,9.0577,9.1064,42001,39241910,-0.0097,-0.0011,0.0107,13,9.1707,9.2418,9.328,9.3869
2020/12/10 9:50,9.0967,9.1357,9.087,9.1259,17608,16478978,0.0195,0.0021,0.0053,13,9.1318,9.2223,9.3115,9.3813
2020/12/10 10:00,9.1064,9.1357,9.0772,9.0967,17156,16046485,-0.0292,-0.0032,0.0064,13,9.1103,9.2009,9.2944,9.3749
2020/12/10 10:10,9.0967,9.1551,9.087,9.1551,11753,11022712,0.0584,0.0064,0.0075,13,9.1201,9.1853,9.2798,9.3697
2020/12/10 10:20,9.1454,9.1649,9.1259,9.1259,13656,12828388,-0.0292,-0.0032,0.0043,13,9.122,9.1659,9.2662,9.3645
2020/12/10 10:30,9.1259,9.1551,9.1259,9.1454,6661,6253582,0.0195,0.0021,0.0032,13,9.1298,9.1503,9.2525,9.3598
2020/12/10 10:40,9.1454,9.1649,9.1259,9.1454,6460,6065117,0,0,0.0043,13,9.1337,9.1327,9.2379,9.3546
2020/12/10 10:50,9.1259,9.1454,9.1162,9.1259,5286,4953091,-0.0195,-0.0021,0.0032,13,9.1396,9.1249,9.2228,9.349
2020/12/10 11:00,9.1259,9.1454,9.1162,9.1357,4621,4332609,0.0097,0.0011,0.0032,13,9.1357,9.1279,9.2092,9.3439
2020/12/10 11:10,9.1357,9.1551,9.1162,9.1357,5746,5392728,0,0,0.0043,13,9.1376,9.1298,9.1975,9.3394
2020/12/10 11:20,9.1259,9.1259,9.0967,9.1064,7745,7243796,-0.0292,-0.0032,0.0032,13,9.1298,9.1298,9.1858,9.334
2020/12/10 11:30,9.1064,9.1259,9.0967,9.1064,3395,3174679,0,0,0.0032,14,9.122,9.1279,9.1751,9.3295
2020/12/10 13:10,9.1162,9.1357,9.1064,9.1259,4529,4242030,0.0195,0.0021,0.0032,13,9.122,9.1308,9.1659,9.3241
2020/12/10 13:20,9.1259,9.1551,9.1162,9.1259,5873,5508058,0,0,0.0043,13,9.1201,9.1279,9.1566,9.3184
2020/12/10 13:30,9.1259,9.1357,9.0967,9.1064,8489,7940776,-0.0195,-0.0021,0.0043,13,9.1142,9.1259,9.1459,9.3137
2020/12/10 13:40,9.1064,9.1259,9.0967,9.1259,4954,4633505,0.0195,0.0021,0.0032,13,9.1181,9.124,9.1371,9.3097
2020/12/10 13:50,9.1259,9.1259,9.1064,9.1162,4113,3849615,-0.0097,-0.0011,0.0021,13,9.1201,9.1211,9.1269,9.3053
2020/12/10 14:00,9.1162,9.1162,9.0967,9.1064,5949,5561604,-0.0097,-0.0011,0.0021,13,9.1162,9.1191,9.122,9.3004
2020/12/10 14:10,9.1064,9.1064,9.048,9.0577,35014,32590794,-0.0487,-0.0053,0.0064,13,9.1025,9.1113,9.1196,9.2949
2020/12/10 14:20,9.0577,9.087,9.0188,9.0675,17235,16011001,0.0097,0.0011,0.0075,13,9.0948,9.1045,9.1172,9.2895
2020/12/10 14:30,9.0675,9.1454,9.0675,9.1162,20406,19091834,0.0487,0.0054,0.0086,13,9.0928,9.1055,9.1176,9.285
2020/12/10 14:40,9.1259,9.1454,9.087,9.1357,7649,7162355,0.0195,0.0021,0.0064,13,9.0967,9.1084,9.1181,9.2814
2020/12/10 14:50,9.1357,9.1357,9.1064,9.1162,7019,6573065,-0.0195,-0.0021,0.0032,13,9.0987,9.1074,9.1191,9.2779
2020/12/10 15:00,9.1162,9.1357,9.1064,9.1259,11820,11070807,0.0097,0.0011,0.0032,15,9.1123,9.1074,9.1176,9.2736
2020/12/11 9:40,9.1162,9.1357,9.087,9.0967,14301,13371725,-0.0292,-0.0032,0.0053,13,9.1181,9.1064,9.1162,9.2684
2020/12/11 9:50,9.087,9.1551,9.087,9.1357,13791,12918684,0.039,0.0043,0.0075,13,9.122,9.1074,9.1157,9.2629
2020/12/11 10:00,9.1259,9.1454,9.0967,9.1162,7971,7459457,-0.0195,-0.0021,0.0053,13,9.1181,9.1074,9.1142,9.2576
2020/12/11 10:10,9.1162,9.1259,9.087,9.087,10123,9458652,-0.0292,-0.0032,0.0043,13,9.1123,9.1055,9.1123,9.2519
2020/12/11 10:20,9.087,9.1162,9.087,9.0967,7822,7306011,0.0097,0.0011,0.0032,13,9.1064,9.1094,9.1103,9.2464
2020/12/11 10:30,9.1064,9.1259,9.087,9.0967,5936,5551422,0,0,0.0043,13,9.1064,9.1123,9.1084,9.2408
2020/12/11 10:40,9.087,9.0967,9.0675,9.0675,9181,8557640,-0.0292,-0.0032,0.0032,13,9.0928,9.1074,9.1064,9.2344
2020/12/11 10:50,9.0675,9.087,9.0577,9.0675,7873,7334635,0,0,0.0032,13,9.0831,9.1006,9.1045,9.2283
2020/12/11 11:00,9.0675,9.0772,9.0188,9.0285,17486,16239846,-0.039,-0.0043,0.0064,13,9.0714,9.0918,9.0996,9.2219
2020/12/11 11:10,9.0188,9.0772,9.0188,9.0383,12973,12057730,0.0097,0.0011,0.0065,13,9.0597,9.0831,9.0952,9.2157
2020/12/11 11:20,9.048,9.0772,8.9896,9.0285,19733,18275163,-0.0097,-0.0011,0.0097,13,9.0461,9.0762,9.0913,9.2094
