Time,Open,High,Low,Close,Volume,MA3,MA5,MA8,MA10,Var10
2021.08.05T14:50:00.000,1.292,1.307,1.277,1.292,9032500,1.292000,1.292000,1.292000,1.292000,-0.000000
2021.08.05T14:51:00.000,1.292,1.307,1.277,1.292,9032500,NaN,NaN,NaN,NaN,NaN
2021.08.05T15:00:00.000,1.292,1.307,1.277,1.292,9032500,NaN,NaN,NaN,NaN,NaN
2021.08.06T14:50:00.000,1.288,1.288,1.276,1.28,5846400,1.286000,1.286000,1.286000,1.286000,0.000036
2021.08.06T14:51:00.000,1.288,1.288,1.276,1.28,5846400,NaN,NaN,NaN,NaN,NaN
2021.08.06T15:00:00.000,1.288,1.288,1.276,1.28,5846400,NaN,NaN,NaN,NaN,NaN
2021.08.09T14:50:00.000,1.27,1.306,1.27,1.297,10325400,1.289667,1.289667,1.289667,1.289667,0.000051
2021.08.09T14:51:00.000,1.27,1.306,1.27,1.297,10325400,NaN,NaN,NaN,NaN,NaN
2021.08.09T15:00:00.000,1.27,1.306,1.27,1.297,10325400,NaN,NaN,NaN,NaN,NaN
2021.08.10T14:50:00.000,1.297,1.319,1.281,1.316,13155600,1.297667,1.296250,1.296250,1.296250,0.000168
2021.08.10T14:51:00.000,1.297,1.319,1.281,1.316,13155600,NaN,NaN,NaN,NaN,NaN
2021.08.10T15:00:00.000,1.297,1.319,1.281,1.316,13155600,NaN,NaN,NaN,NaN,NaN
2021.08.11T14:50:00.000,1.313,1.321,1.305,1.308,11613600,1.307000,1.298600,1.298600,1.298600,0.000157
2021.08.11T14:51:00.000,1.313,1.321,1.305,1.308,11613600,NaN,NaN,NaN,NaN,NaN
2021.08.11T15:00:00.000,1.313,1.321,1.305,1.308,11613600,NaN,NaN,NaN,NaN,NaN
2021.08.12T14:50:00.000,1.309,1.309,1.294,1.296,6927800,1.306667,1.299400,1.298167,1.298167,0.000131
2021.08.12T14:51:00.000,1.309,1.309,1.294,1.296,6927800,NaN,NaN,NaN,NaN,NaN
2021.08.12T15:00:00.000,1.309,1.309,1.294,1.296,6927800,NaN,NaN,NaN,NaN,NaN
2021.08.13T14:50:00.000,1.294,1.302,1.283,1.292,12794396,1.298667,1.301800,1.297286,1.297286,0.000117
2021.08.13T14:51:00.000,1.294,1.302,1.283,1.292,12794396,NaN,NaN,NaN,NaN,NaN
2021.08.13T15:00:00.000,1.294,1.302,1.283,1.292,12794396,NaN,NaN,NaN,NaN,NaN
2021.08.16T14:50:00.000,1.297,1.304,1.288,1.296,12410400,1.294667,1.301600,1.297125,1.297125,0.000103
2021.08.16T14:51:00.000,1.297,1.304,1.288,1.296,12410400,NaN,NaN,NaN,NaN,NaN
2021.08.16T15:00:00.000,1.297,1.304,1.288,1.296,12410400,NaN,NaN,NaN,NaN,NaN
2021.08.17T14:50:00.000,1.297,1.304,1.263,1.267,18277200,1.285000,1.291800,1.294000,1.293778,0.000181
2021.08.17T14:51:00.000,1.297,1.304,1.263,1.267,18277200,NaN,NaN,NaN,NaN,NaN
2021.08.17T15:00:00.000,1.297,1.304,1.263,1.267,18277200,NaN,NaN,NaN,NaN,NaN
2021.08.18T14:50:00.000,1.266,1.289,1.262,1.282,15568700,1.281667,1.286600,1.294250,1.292600,0.000175
2021.08.18T14:51:00.000,1.266,1.289,1.262,1.282,15568700,NaN,NaN,NaN,NaN,NaN
2021.08.18T15:00:00.000,1.266,1.289,1.262,1.282,15568700,NaN,NaN,NaN,NaN,NaN
2021.08.19T14:50:00.000,1.282,1.283,1.259,1.265,13828600,1.271333,1.280400,1.290250,1.289900,0.000244
2021.08.19T14:51:00.000,1.282,1.283,1.259,1.265,13828600,NaN,NaN,NaN,NaN,NaN
2021.08.19T15:00:00.000,1.282,1.283,1.259,1.265,13828600,NaN,NaN,NaN,NaN,NaN
2021.08.20T14:50:00.000,1.265,1.265,1.228,1.237,35953700,1.261333,1.269400,1.280375,1.285600,0.000496
