datetime,open,high,low,close,vol,amount,ma5,ma10
2017/10/9 9:40,11.95,11.96,11.93,11.95,2463,2941496,11.948,11.945
2017/10/9 9:41,11.95,11.95,11.92,11.93,2931,3499008,11.948,11.969
2017/10/9 9:42,11.93,11.93,11.91,11.91,3674,4378296,11.94,11.959
2017/10/9 9:43,11.91,11.91,11.89,11.89,3814,4538000,11.936,11.948
2017/10/9 9:44,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2017/10/9 9:45,11.88,11.88,11.85,11.87,4086,4848800,11.912,11.93
2017/10/9 9:46,11.85,11.88,11.85,11.88,1579,1873696,11.892,11.92
2017/10/9 9:47,11.88,11.9,11.84,11.9,6212,7375904,11.882,11.911
2017/10/9 9:48,11.9,11.9,11.89,11.89,2405,2860496,11.88,11.908
2017/10/9 9:49,11.89,11.9,11.87,11.87,3538,4203008,11.88,11.903
2017/10/9 9:50,11.87,11.89,11.86,11.86,1245,1478688,11.878,11.895
2017/10/9 9:51,11.86,11.87,11.85,11.86,1789,2121312,11.88,11.886
2017/10/9 9:52,11.85,11.86,11.82,11.82,5026,5939584,11.874,11.878
2017/10/9 9:53,11.83,11.85,11.81,11.83,1176,1390304,11.86,11.87
2017/10/9 9:54,11.84,11.88,11.83,11.88,1113,1319712,11.85,11.865
2017/10/9 9:55,11.87,11.89,11.87,11.87,788,936096,11.85,11.864
2017/10/9 9:56,11.88,11.89,11.86,11.87,771,915296,11.854,11.867
2017/10/9 9:57,11.86,11.88,11.86,11.86,778,923392,11.856,11.865
2017/10/9 9:58,11.87,11.87,11.86,11.86,1002,1188912,11.864,11.862
2017/10/9 9:59,11.86,11.86,11.84,11.85,1542,1827200,11.868,11.859
2017/10/9 10:00,11.84,11.86,11.78,11.8,6809,8043504,11.862,11.856
2017/10/9 10:01,11.84,11.84,11.79,11.82,2208,2606096,11.854,11.854
2017/10/9 10:02,11.81,11.82,11.81,11.82,1672,1975200,11.844,11.85
2017/10/9 10:03,11.82,11.84,11.81,11.84,626,740192,11.834,11.849
2017/10/9 10:04,11.84,11.84,11.79,11.82,6726,7939808,11.83,11.849
2017/10/9 10:05,11.81,11.81,11.78,11.79,2408,2840896,11.824,11.843
