datetime,open,high,low,close,vol,amount,ma5,ma10
2017/10/9 9:40,8.93,8.93,8.81,8.81,8462,7513200,8.82,8.81
2017/10/9 9:41,8.84,8.85,8.81,8.84,3020,2669304,8.832,8.804444444
2017/10/9 9:42,8.83,8.87,8.83,8.87,3128,2766992,8.844,8.825555556
2017/10/9 9:43,8.87,8.89,8.87,8.89,4925,4372896,8.86,8.825555556
2017/10/9 9:44,8.89,8.89,8.8,8.85,6152,5440208,8.872,8.836666667
2017/10/9 9:45,8.8,8.85,8.8,8.82,2952,2605904,8.846,8.838888889
2017/10/9 9:46,8.82,8.85,8.78,8.78,4361,3842096,8.842,8.844444444
2017/10/9 9:47,8.79,8.79,8.72,8.73,3658,3204400,8.834,8.844444444
2017/10/9 9:48,8.71,8.8,8.7,8.8,3538,3087696,8.802,8.831111111
2017/10/9 9:49,8.81,8.81,8.76,8.78,2030,1781600,8.786,8.817777778
2017/10/9 9:50,8.77,8.79,8.75,8.79,2224,1949808,8.78,8.81
2017/10/9 9:51,8.77,8.79,8.75,8.78,2148,1884096,8.77,8.803333333
2017/10/9 9:52,8.78,8.79,8.76,8.79,1980,1738208,8.768,8.793333333
2017/10/9 9:53,8.78,8.79,8.76,8.77,1165,1021888,8.782,8.781111111
2017/10/9 9:54,8.77,8.77,8.75,8.77,1847,1617504,8.774,8.777777778
2017/10/9 9:55,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2017/10/9 9:56,8.78,8.78,8.75,8.78,1185,1039104,8.774,8.77
2017/10/9 9:57,8.77,8.78,8.69,8.69,4632,4044800,8.772,8.776666667
2017/10/9 9:58,8.7,8.73,8.69,8.7,3679,3197792,8.756,8.764444444
2017/10/9 9:59,8.7,8.75,8.69,8.74,2573,2239712,8.742,8.756666667
2017/10/9 10:00,8.75,8.76,8.71,8.71,2497,2182992,8.74,8.754444444
2017/10/9 10:01,8.71,8.74,8.7,8.73,745,649504,8.726,8.746666667
2017/10/9 10:02,8.73,8.74,8.73,8.74,1138,993504,8.718,8.741111111
2017/10/9 10:03,8.73,8.74,8.72,8.73,1620,1414592,8.724,8.736666667
2017/10/9 10:04,8.73,8.75,8.72,8.75,1896,1657808,8.73,8.733333333
2017/10/9 10:05,8.75,8.78,8.75,8.77,1267,1109392,8.73,8.73
2017/10/9 10:06,8.77,8.78,8.76,8.78,905,793600,8.742,8.73
2017/10/9 10:07,8.77,8.79,8.77,8.79,981,861200,8.75,8.737777778
2017/10/9 10:08,8.79,8.79,8.77,8.77,1185,1040304,8.762,8.747777778
2017/10/9 10:09,8.78,8.78,8.77,8.77,1339,1174000,8.772,8.751111111
2017/10/9 10:10,8.77,8.77,8.76,8.77,1051,921296,8.776,8.757777778
2017/10/9 10:11,8.77,8.77,8.76,8.77,944,827600,8.776,8.762222222
2017/10/9 10:12,8.77,8.77,8.75,8.75,1205,1055200,8.776,8.766666667
2017/10/9 10:13,8.75,8.75,8.72,8.73,1341,1172608,8.768,8.768888889
2017/10/9 10:14,8.72,8.72,8.7,8.7,2893,2520000,8.756,8.765555556
2017/10/9 10:15,8.7,8.71,8.7,8.71,1417,1233296,8.742,8.757777778
2017/10/9 10:16,8.72,8.76,8.72,8.76,654,571696,8.732,8.752222222
2017/10/9 10:17,8.76,8.77,8.75,8.76,1172,1026608,8.73,8.748888889
2017/10/9 10:18,8.76,8.76,8.74,8.76,1065,932192,8.732,8.746666667
2017/10/9 10:19,8.75,8.76,8.74,8.75,507,443600,8.738,8.744444444
2017/10/9 10:20,8.74,8.75,8.73,8.74,1276,1115104,8.746,8.741111111
2017/10/9 10:21,8.73,8.75,8.73,8.75,772,675104,8.748,8.736666667
2017/10/9 10:22,8.75,8.76,8.75,8.76,591,517200,8.746,8.736666667
2017/10/9 10:23,8.76,8.76,8.75,8.76,1041,911696,8.746,8.741111111
2017/10/9 10:24,8.75,8.77,8.75,8.77,973,852192,8.746,8.746666667
2017/10/9 10:25,8.77,8.78,8.77,8.78,2242,1966512,8.752,8.752222222
2017/10/9 10:26,8.78,8.78,8.77,8.78,1399,1228000,8.762,8.754444444
2017/10/9 10:27,8.78,8.82,8.78,8.82,2889,2540688,8.768,8.756666667
2017/10/9 10:28,8.82,8.85,8.82,8.85,1822,1609008,8.78,8.764444444
2017/10/9 10:29,8.85,8.89,8.84,8.89,4389,3890400,8.8,8.776666667
2017/10/9 10:30,8.9,8.97,8.9,8.96,7286,6502304,8.826,8.795555556
2017/10/9 10:31,8.96,8.96,8.87,8.87,6994,6242096,8.862,8.818888889
2017/10/9 10:32,8.89,8.94,8.88,8.93,4879,4351808,8.884,8.833333333
2017/10/9 10:33,8.93,8.93,8.89,8.89,3560,3170096,8.906,8.853333333
2017/10/9 10:34,8.9,8.91,8.88,8.88,1119,995296,8.916,8.867777778
2017/10/9 10:35,8.89,8.9,8.88,8.89,916,813904,8.914,8.88
2017/10/9 10:36,8.9,8.9,8.88,8.89,1180,1048800,8.902,8.893333333
2017/10/9 10:37,8.89,8.89,8.87,8.87,577,512096,8.902,8.901111111
2017/10/9 10:38,8.86,8.87,8.85,8.86,677,599696,8.888,8.902222222
2017/10/9 10:39,8.86,8.86,8.85,8.86,942,834000,8.88,8.897777778
2017/10/9 10:40,8.86,8.86,8.84,8.86,349,308896,8.874,8.886666667
2017/10/9 10:41,8.85,8.86,8.85,8.86,409,362400,8.864,8.882222222
2017/10/9 10:42,8.85,8.85,8.83,8.83,1388,1227008,8.856,8.873333333
2017/10/9 10:43,8.83,8.84,8.81,8.81,764,673792,8.85,8.865555556
2017/10/9 10:44,8.81,8.83,8.81,8.82,310,273504,8.84,8.856666667
2017/10/9 10:45,8.82,8.84,8.82,8.84,389,343504,8.832,8.847777778
2017/10/9 10:46,8.84,8.85,8.83,8.85,396,350304,8.83,8.842222222
2017/10/9 10:47,8.84,8.85,8.84,8.84,533,471296,8.828,8.84
2017/10/9 10:48,8.84,8.84,8.83,8.83,555,490400,8.83,8.837777778
2017/10/9 10:49,8.84,8.84,8.82,8.82,858,757808,8.836,8.835555556
2017/10/9 10:50,8.82,8.83,8.81,8.83,443,390592,8.836,8.832222222
2017/10/9 10:51,8.83,8.84,8.82,8.84,451,398304,8.834,8.83
2017/10/9 10:52,8.83,8.84,8.83,8.84,396,350000,8.832,8.83
2017/10/9 10:53,8.85,8.85,8.84,8.85,441,390000,8.834,8.834444444
2017/10/9 10:54,8.84,8.85,8.84,8.85,576,509392,8.834,8.836666667
2017/10/9 10:55,8.84,8.86,8.84,8.85,780,690000,8.838,8.836666667
2017/10/9 10:56,8.85,8.85,8.84,8.84,313,277008,8.842,8.837777778
2017/10/9 10:57,8.84,8.85,8.83,8.84,204,180304,8.844,8.837777778
2017/10/9 10:58,8.85,8.85,8.8,8.83,1630,1437984,8.844,8.838888889
2017/10/9 10:59,8.82,8.82,8.8,8.81,830,730608,8.84,8.838888889
2017/10/9 11:00,8.8,8.8,8.79,8.79,534,470000,8.832,8.835555556
2017/10/9 11:01,8.8,8.8,8.78,8.8,530,465600,8.822,8.832222222
2017/10/9 11:02,8.79,8.8,8.79,8.79,414,364304,8.812,8.825555556
2017/10/9 11:03,8.8,8.8,8.79,8.79,547,480992,8.802,8.821111111
2017/10/9 11:04,8.8,8.8,8.78,8.79,988,868208,8.798,8.816666667
2017/10/9 11:05,8.79,8.79,8.78,8.79,381,334688,8.796,8.81
2017/10/9 11:06,8.79,8.79,8.78,8.79,690,606512,8.794,8.804444444
2017/10/9 11:07,8.79,8.81,8.79,8.81,1325,1165904,8.794,8.797777778
2017/10/9 11:08,8.81,8.83,8.8,8.82,549,483488,8.796,8.796666667
2017/10/9 11:09,8.83,8.83,8.81,8.81,218,192208,8.802,8.8
2017/10/9 11:10,8.82,8.84,8.81,8.83,776,684896,8.808,8.802222222
2017/10/9 11:11,8.83,8.85,8.83,8.85,403,356400,8.816,8.806666667
2017/10/9 11:12,8.85,8.85,8.84,8.84,664,587296,8.828,8.812222222
2017/10/9 11:13,8.84,8.84,8.81,8.81,497,438912,8.834,8.816666667
2017/10/9 11:14,8.82,8.83,8.81,8.82,256,225792,8.832,8.82
