Time,Open,High,Low,Close,Volume,Amount,MA3,MA5,Var10
2011.01.10T14:50:00.000,2.562,2.58,2.505,2.528,45264700,115839672,2.528000,2.528000,0.000000
2011.01.10T14:51:00.000,2.562,2.58,2.505,2.528,45264700,115839672,2.528000,2.528000,0.000000
2011.01.10T15:00:00.000,2.562,2.58,2.505,2.528,45264700,115839672,2.528000,2.528000,0.000000
2011.01.11T14:50:00.000,2.515,2.569,2.515,2.557,28367400,71939760,2.537667,2.535250,0.000158
2011.01.11T14:51:00.000,2.515,2.569,2.515,2.557,28367400,71939760,2.547333,2.539600,0.000202
2011.01.11T15:00:00.000,2.515,2.569,2.515,2.557,28367400,71939760,2.557000,2.545400,0.000210
2011.01.12T14:50:00.000,2.558,2.594,2.542,2.568,9988500,25676856,2.560667,2.553400,0.000260
2011.01.12T14:51:00.000,2.558,2.594,2.542,2.568,9988500,25676856,2.564333,2.561400,0.000280
2011.01.12T15:00:00.000,2.558,2.594,2.542,2.568,9988500,25676856,2.568000,2.563600,0.000285
2011.01.13T14:50:00.000,2.568,2.588,2.565,2.575,19972500,51520208,2.570333,2.567200,0.000308
2011.01.13T14:51:00.000,2.568,2.588,2.565,2.575,19972500,51520208,2.572667,2.570800,0.000268
2011.01.13T15:00:00.000,2.568,2.588,2.565,2.575,19972500,51520208,2.575000,2.572200,0.000184
2011.01.14T14:50:00.000,2.5,2.57,2.5,2.542,2174700,5547950,2.564000,2.567000,0.000104
2011.01.14T14:51:00.000,2.5,2.57,2.5,2.542,2174700,5547950,2.553000,2.561800,0.000146
2011.01.14T15:00:00.000,2.5,2.57,2.5,2.542,2174700,5547950,2.542000,2.555200,0.000183
2011.01.17T14:50:00.000,2.51,2.54,2.441,2.467,3215900,8032152,2.517000,2.533600,0.000988
2011.01.17T14:51:00.000,2.51,2.54,2.441,2.467,3215900,8032152,2.492000,2.512000,0.001587
2011.01.17T15:00:00.000,2.51,2.54,2.441,2.467,3215900,8032152,2.467000,2.497000,0.001982
2011.01.18T14:50:00.000,2.43,2.487,2.43,2.47,19168300,47187916,2.468000,2.482600,0.002141
2011.01.18T14:51:00.000,2.43,2.487,2.43,2.47,19168300,47187916,2.469000,2.468200,0.002024
2011.01.18T15:00:00.000,2.43,2.487,2.43,2.47,19168300,47187916,2.470000,2.468800,0.001687
2011.01.19T14:50:00.000,2.445,2.519,2.445,2.514,2862700,7143535,2.484667,2.478200,0.001121
2011.01.19T14:51:00.000,2.445,2.519,2.445,2.514,2862700,7143535,2.499333,2.487600,0.000929
2011.01.19T15:00:00.000,2.445,2.519,2.445,2.514,2862700,7143535,2.514000,2.496400,0.000722
2011.01.20T14:50:00.000,2.49,2.519,2.45,2.451,1471700,3663008,2.493000,2.492600,0.000511
2011.01.20T14:51:00.000,2.49,2.519,2.45,2.451,1471700,3663008,2.472000,2.488800,0.000577
2011.01.20T15:00:00.000,2.49,2.519,2.45,2.451,1471700,3663008,2.451000,2.476200,0.000638
2011.01.21T14:50:00.000,2.44,2.558,2.44,2.493,3462400,8622271,2.465000,2.472000,0.000646
2011.01.21T14:51:00.000,2.44,2.558,2.44,2.493,3462400,8622271,2.479000,2.467800,0.000648
2011.01.21T15:00:00.000,2.44,2.558,2.44,2.493,3462400,8622271,2.493000,2.476200,0.000640
2011.01.24T14:50:00.000,2.493,2.527,2.491,2.5,7253500,18164952,2.495333,2.486000,0.000635
2011.01.24T14:51:00.000,2.493,2.527,2.491,2.5,7253500,18164952,2.497667,2.495800,0.000578
2011.01.24T15:00:00.000,2.493,2.527,2.491,2.5,7253500,18164952,2.500000,2.497200,0.000517
2011.01.25T14:50:00.000,2.493,2.5,2.466,2.483,1072400,2662746,2.494333,2.495200,0.000422
